This document is best viewed on desktops and laptops. Copyright Michael Simmons 2017-2019. All Right Reserved.																												
Master one mental model per month starting with the most useful and universals models at http://www.mentalmodelclub.com									Jeff Bezos	Dave McClure	Andy Rachleff	Balaji S. Srinivasan	Paul Graham	Frank Robinson	Ray Dalio	 Robert Metcalfe	Thucydides	Adam Smith	Clayton Christenson	James Clear	Shane Parrish	Gabriel Weinberg	Scott Page	Charlie Munger	Daniel Dennett 	Jack Barker	Hiten Shah	Brandon Chu
	The Map Is Not the Territory	The map of reality is not reality itself. If any map were to represent its actual territory with perfect fidelity, it would be the size of the territory itself. Thus, no need for a map! This model tells us that there will always be an imperfect relationship between reality and the models we use to represent and understand it. This imperfection is a necessity in order to simplify. It is all we can do to accept this and act accordingly.	Shane Parrish's Farnam Street Mental Model Guide					1													1							
	Thought Experiments	A technique popularized by Einstein, the thought experiment is a way to logically carry out a test in one’s own head that would be very difficult or impossible to perform in real life. With the thought experiment as a tool, we can solve problems with intuition and logic that could not be demonstrated physically, as with Einstein imagining himself traveling on a beam of light in order to solve the problem of relativity. - Shane Parrish   “considers some hypothesis, theory, or principle for the purpose of thinking through its consequences.” (related: counterfactual thinking) - Gabriel Weinberg'	Shane Parrish's Farnam Street Mental Model Guide https://www.farnamstreetblog.com/mental-models/  --- Gabriel Weinberg's Mental Models I Find Repeatedly Useful https://medium.com/@yegg/mental-models-i-find-repeatedly-useful-936f1cc405d					2													1	1						
	Mr. Market	Mr. Market was introduced by the investor Benjamin Graham in his seminal book The Intelligent Investor to represent the vicissitudes of the financial markets. As Graham explains, the markets are a bit like a moody neighbor, sometimes waking up happy and sometimes waking up sad – your job as an investor is to take advantage of him in his bad moods and sell to him in his good moods. This attitude is contrasted to an efficient-market hypothesis in which Mr. Market always wakes up in the middle of the bed, never feeling overly strong in either direction.	Shane Parrish's Farnam Street Mental Model Guide					1													1							
	Probabilistic Thinking (See also: Numeracy/Bayesian Updating)	The unknowable human world is dominated by probabilistic outcomes, as distinguished from deterministic ones. Although we cannot predict the future with great certainty, we are wise to ascribe odds to more and less probable events. We do this every day unconsciously as we cross the street and ascribe low, yet not negligible, odds of being hit by a car.	Shane Parrish's Farnam Street Mental Model Guide					1													1							
	Default Status	The USCB ecologist/economist Garrett Hardin once said that “The scientific mind is not closed: it is merely well-guarded by a conscientious and seldom sleeping gatekeeper.” The way it does that is with the concept of the default status: The “resting position” of common sense, whereby the burden of proof falls on assertions to the contrary. Given the problem of opportunity costs and limited time and energy, a default status is nearly always necessary to avoid wasting time. Examples include the laws of thermodynamics, the law of natural selection, and the incentive-caused bias.	Shane Parrish's Farnam Street Mental Model Guide					1													1							
	Making Mistakes		Philosopher Daniel Dennett's Book Intuition Pumps					1																	1			
	Reductio ad Absurdum	The crowbar of rational inquiry, the great lever that enforces consistency, is reductio ad absurdum—literally, reduction (of the argument) to absurdity. You take the assertion or conjecture at issue and see if you can pry any contradictions (or just preposterous implications) out of it. If you can, that proposition has to be discarded or sent back to the shop for retooling. 	Philosopher Daniel Dennett's Book Intuition Pumps					1																	1			
	Rapoport’s Rules	How to compose a successful critical commentary:  1. You should attempt to re-express your target’s position so clearly, vividly, and fairly that your target says, “Thanks, I wish I’d thought of putting it that way.” 2. You should list any points of agreement (especially if they are not matters of general or widespread agreement). 3. You should mention anything you have learned from your target. 4. Only then are you permitted to say so much as a word of rebuttal or criticism.  One immediate effect of following these rules is that your targets will be a receptive audience for your criticism: you have already shown that you understand their positions as well as they do, and have demonstrated good judgment (you agree with them on some important matters and have even been persuaded by something they said).	Philosopher Daniel Dennett's Book Intuition Pumps					1																	1			
	Sturgeon’s Law	"Sturgeon’s Law is usually put a little less decorously: Ninety percent of everything is crap. Ninety percent of experiments in molecular biology, 90 percent of poetry, 90 percent of philosophy books, 90 percent of peer-reviewed articles in mathematics—and so forth—is crap. Is that true? Well, maybe it’s an exaggeration, but let’s agree that there is a lot of mediocre work done in every field...."  "Now, in order not to waste your time and try our patience, make sure you concentrate on the best stuff you can find, the flagship examples extolled by the leaders of the field, the prizewinning entries, not the dregs."	Philosopher Daniel Dennett's Book Intuition Pumps					1																	1			
	Occam’s Broom	"The process in which inconvenient facts are whisked under the rug by intellectually dishonest champions of one theory or another."	Philosopher Daniel Dennett's Book Intuition Pumps					1																	1			
	Using Lay Audiences as Decoys	"In many fields—not just philosophy—there are controversies that seem never-ending and partly artifactual: people are talking past one another and not making the necessary effort to communicate effectively. When experts talk to experts, whether they are in the same discipline or not, they always err on the side of under-explaining. The reason is not far to seek: to overexplain something to a fellow expert is a very serious insult—“Do I have to spell it out for you?”—and nobody wants to insult a fellow expert.   Solution for this problem: Have all experts present their views to a small audience of curious nonexperts (here at Tufts I have the advantage of bright undergraduates) while the other experts listen in from the sidelines. They don’t have to eavesdrop; this isn’t a devious suggestion. On the contrary, everybody can and should be fully informed that the point of the exercise is to make it comfortable for participants to speak in terms that everybody will understand. By addressing their remarks to the undergraduates (the decoy audience), speakers need not worry at all about insulting the experts because they are not addressing the experts. (I suppose they might worry about insulting the undergraduates, but that’s another matter.) When all goes well, expert A explains the issues of the controversy to the undergraduates while expert B listens. At some point B’s face may light up. “So that’s what you’ve been trying to say! Now I get it.”"	Philosopher Daniel Dennett's Book Intuition Pumps					1																	1			
	Jootsing	"Jootsing stands for “jumping out of the system.” This is an important tactic not just in science and philosophy, but also in the arts. Creativity, that ardently sought but only rarely found virtue, often is a heretofore unimagined violation of the rules of the system from which it springs. It might be the system of classical harmony in music, the rules for meter and rhyme in sonnets (or limericks, even), or the “canons” of taste or good form in some genre of art. Or it might be the assumptions and principles of some theory or research program. Being creative is not just a matter of casting about for something novel—anybody can do that, since novelty can be found in any random juxtaposition of stuff—but of making the novelty jump out of some system, a system that has become somewhat established, for good reasons."	Philosopher Daniel Dennett's Book Intuition Pumps					1																	1			
	Three Species of Goulding: Rathering, Piling On, and the Gould Two-Step	Rathering is a way of sliding you swiftly and gently past a false dichotomy. The general form of a rathering is “It is not the case that blahblahblah, as orthodoxy would have you believe; it is rather that suchandsuchandsuch—which is radically different.” Some ratherings are just fine; you really must choose between the two alternatives on offer; in these cases, you are not being offered a false, but rather a genuine, inescapable dichotomy. But some ratherings are little more than sleight of hand, due to the fact that the word “rather” implies—without argument—that there is an important incompatibility between the claims flanking it.	Philosopher Daniel Dennett's Book Intuition Pumps					1																	1			
	The “Surely” Operator: A Mental Block	"When you’re reading or skimming argumentative essays, especially by philosophers, here is a quick trick that may save you much time and effort, especially in this age of simple searching by computer: look for “surely” in the document, and check each occurrence. Not always, not even most of the time, but often the word “surely” is as good as a blinking light locating a weak point in the argument, a warning label about a likely boom crutch. Why? Because it marks the very edge of what the author is actually sure about and hopes readers will also be sure about. (If the author were really sure all the readers would agree, it wouldn’t be worth mentioning.) "	Philosopher Daniel Dennett's Book Intuition Pumps					1																	1			
	Rhetorical Questions	Just as you should keep a sharp eye out for “surely,” you should develop a sensitivity for rhetorical questions in any argument or polemic. Why? Because, like the use of “surely,” they represent an author’s eagerness to take a short cut. A rhetorical question has a question mark at the end, but it is not meant to be answered. Whenever you see a rhetorical question, try—silently, to yourself—to give it an unobvious answer.	Philosopher Daniel Dennett's Book Intuition Pumps					1																	1			
	What Is a Deepity?	A deepity is a proposition that seems both important and true—and profound—but that achieves this effect by being ambiguous. On one reading it is manifestly false, but it would be earth-shaking if it were true; on the other reading it is true but trivial. The unwary listener picks up the glimmer of truth from the second reading, and the devastating importance from the first reading, and thinks, Wow! That’s a deepity.  Example: Love is just a word. “love” is an English word, but just a word, not a sentence, for example. 	Philosopher Daniel Dennett's Book Intuition Pumps					1																	1			
	Scientific Method	“Systematic observation, measurement, and experiment, and the formulation, testing, and modification of hypotheses.” (related: reproducibility) - Gabriel Weinberg  "The scientific method is a body of techniques for investigating phenomena, acquiring new knowledge, or correcting and integrating previous knowledge. To be termed scientific, a method of inquiry is commonly based on empirical or measurable evidence subject to specific principles of reasoning.The Oxford Dictionaries Online defines the scientific method as "a method or procedure that has characterized natural science since the 17th century, consisting in systematic observation, measurement, and experiment, and the formulation, testing, and modification of hypotheses".  Experiments need to be designed to test hypotheses. Experiments are an important tool of the scientific method." - Wikipedia (James Clear)	Gabriel Weinberg's Mental Models I Find Repeatedly Useful https://medium.com/@yegg/mental-models-i-find-repeatedly-useful-936f1cc405d --- James Clear Mental Models Overview https://jamesclear.com/mental-models					2												1		1						
	Proxy	“A variable that is not in itself directly relevant, but that serves in place of an unobservable or immeasurable variable. In order for a variable to be a good proxy, it must have a close correlation, not necessarily linear, with the variable of interest.” (related: revealed preference; Proxy War — “A conflict between two nations where neither country directly engages the other.”)	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Selection Bias 	“The selection of individuals, groups or data for analysis in such a way that proper randomization is not achieved, thereby ensuring that the sample obtained is not representative of the population intended to be analyzed.” (related: sampling bias)	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Response Bias	“A wide range of cognitive biases that influence the responses of participants away from an accurate or truthful response.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Observer Effect	“Changes that the act of observation will make on a phenomenon being observed.” (related: Schrödinger’s cat)	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Systems Thinking	 “By taking the overall system as well as its parts into account systems thinking is designed to avoid potentially contributing to further development of unintended consequences.” (related: causal loop diagrams; stock and flow; Le Chatelier’s principle, hysteresis — “the time-based dependence of a system’s output on present and past inputs.”; “Can’t see the forest for the trees.”)	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Scenario Analysis	 “A process of analyzing possible future events by considering alternative possible outcomes.” (related: “Skate to where the puck is going.”; black swan theory — “a metaphor that describes an event that comes as a surprise, has a major effect, and is often inappropriately rationalized after the fact with the benefit of hindsight.”)	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Normal Distribution	“A very common continuous probability distribution…Physical quantities that are expected to be the sum of many independent processes (such as measurement errors) often have distributions that are nearly normal.” (related: central limit theorem)	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Sensitivity Analysis	“The study of how the uncertainty in the output of a mathematical model or system (numerical or otherwise) can be apportioned to different sources of uncertainty in its inputs.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Cost-benefit Analysis	“A systematic approach to estimating the strengths and weaknesses of alternatives that satisfy transactions, activities or functional requirements for a business.” (related: net present value — “a measurement of the profitability of an undertaking that is calculated by subtracting the present values of cash outflows (including initial cost) from the present values of cash inflows over a period of time.”, discount rate)	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Simulation	 “The imitation of the operation of a real-world process or system over time.” (related: Queuing theory — “the mathematical study of waiting lines, or queues.”)	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Pareto Efficiency	 “A state of allocation of resources in which it is impossible to make any one individual better off without making at least one individual worse off…A Pareto improvement is defined to be a change to a different allocation that makes at least one individual better off without making any other individual worse off, given a certain initial allocation of goods among a set of individuals.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
Numeracy	Permutations and Combinations	The mathematics of permutations and combinations leads us to understand the practical probabilities of the world around us, how things can be ordered, and how we should think about things.	Shane Parrish's Farnam Street Mental Model Guide					1													1							
	Algebraic Equivalence	The introduction of algebra allowed us to demonstrate mathematically and abstractly that two seemingly different things could be the same. By manipulating symbols, we can demonstrate equivalence or inequivalence, the use of which led humanity to untold engineering and technical abilities. Knowing at least the basics of algebra can allow us to understand a variety of important results.	Shane Parrish's Farnam Street Mental Model Guide					1													1							
	Randomness	Though the human brain has trouble comprehending it, much of the world is composed of random, non-sequential, non-ordered events. We are “fooled” by random effects when we attribute causality to things that are actually outside of our control. If we don’t course-correct for this fooled-by-randomness effect – our faulty sense of pattern-seeking – we will tend to see things as being more predictable than they are and act accordingly.	Shane Parrish's Farnam Street Mental Model Guide					1													1							
	Stochastic Processes (Poisson, Markov, Random Walk)	A stochastic process is a random statistical process and encompasses a wide variety of processes in which the movement of an individual variable can be impossible to predict but can be thought through probabilistically. The wide variety of stochastic methods helps us describe systems of variables through probabilities without necessarily being able to determine the position of any individual variable over time. For example, it’s not possible to predict stock prices on a day-to-day basis, but we can describe the probability of various distributions of their movements over time. Obviously, it is much more likely that the stock market (a stochastic process) will be up or down 1% in a day than up or down 10%, even though we can’t predict what tomorrow will bring.	Shane Parrish's Farnam Street Mental Model Guide					1													1							
	Compounding	It’s been said that Einstein called compounding a wonder of the world. He probably didn’t, but it is a wonder. Compounding is the process by which we add interest to a fixed sum, which then earns interest on the previous sum and the newly added interest, and then earns interest on that amount, and so on ad infinitum. It is an exponential effect, rather than a linear, or additive, effect. Money is not the only thing that compounds; ideas and relationships do as well. In tangible realms, compounding is always subject to physical limits and diminishing returns; intangibles can compound more freely. Compounding also leads to the time value of money, which underlies all of modern finance. - Shane Parrish  “Interest on interest. It is the result of reinvesting interest, rather than paying it out, so that interest in the next period is then earned on the principal sum plus previously-accumulated interest.” - Gabriel Weinberg	Shane Parrish's Farnam Street Mental Model Guide https://www.farnamstreetblog.com/mental-models/  --- Gabriel Weinberg's Mental Models I Find Repeatedly Useful https://medium.com/@yegg/mental-models-i-find-repeatedly-useful-936f1cc405d					2													1	1						
	Multiplying by Zero	Any reasonably educated person knows that any number multiplied by zero, no matter how large the number, is still zero. This is true in human systems as well as mathematical ones. In some systems, a failure in one area can negate great effort in all other areas. As simple multiplication would show, fixing the “zero” often has a much greater effect than does trying to enlarge the other areas.	Shane Parrish's Farnam Street Mental Model Guide					1													1							
	Churn	Insurance companies and subscription services are well aware of the concept of churn – every year, a certain number of customers are lost and must be replaced. Standing still is the equivalent of losing, as seen in the model called the “Red Queen Effect.” Churn is present in many business and human systems: A constant figure is periodically lost and must be replaced before any new figures are added over the top.	Shane Parrish's Farnam Street Mental Model Guide					1													1							
	Law of Large Numbers	One of the fundamental underlying assumptions of probability is that as more instances of an event occur, the actual results will converge on the expected ones. For example, if I know that the average man is 5 feet 10 inches tall, I am far more likely to get an average of 5′10″ by selecting 500 men at random than 5 men at random. The opposite of this model is the law of small numbers, which states that small samples can and should be looked at with great skepticism.	Shane Parrish's Farnam Street Mental Model Guide					1													1							
	Bell Curve/Normal Distribution	The normal distribution is a statistical process that leads to the well-known graphical representation of a bell curve, with a meaningful central “average” and increasingly rare standard deviations from that average when correctly sampled. (The so-called “central limit” theorem.) Well-known examples include human height and weight, but it’s just as important to note that many common processes, especially in non-tangible systems like social systems, do not follow the normal distribution.	Shane Parrish's Farnam Street Mental Model Guide					1													1							
	Power Laws	One of the most common processes that does not fit the normal distribution is that of a power law, whereby one quantity varies with another’s exponent rather than linearly. For example, the Richter scale describes the power of earthquakes on a power-law distribution scale: an 8 is 10x more destructive than a 7, and a 9 is 10x more destructive than an 8. The central limit theorem does not apply and there is thus no “average” earthquake. This is true of all power-law distributions. - Shane Parrish   “A functional relationship between two quantities, where a relative change in one quantity results in a proportional relative change in the other quantity, independent of the initial size of those quantities: one quantity varies as a power of another.” (related: Pareto distribution; Pareto principle — “for many events, roughly 80% of the effects come from 20% of the causes.”, diminishing returns, premature optimization, heavy-tailed distribution, fat-tailed distribution; long tail — “the portion of the distribution having a large number of occurrences far from the “head” or central part of the distribution.”; black swan theory — “a metaphor that describes an event that comes as a surprise, has a major effect, and is often inappropriately rationalized after the fact with the benefit of hindsight.”) - Gabriel Weinberg	Shane Parrish's Farnam Street Mental Model Guide https://www.farnamstreetblog.com/mental-models/  --- Gabriel Weinberg's Mental Models I Find Repeatedly Useful https://medium.com/@yegg/mental-models-i-find-repeatedly-useful-936f1cc405d					2													1	1						
	Fat-Tailed Processes (Extremistan)	A process can often look like a normal distribution but have a large “tail” – meaning that seemingly outlier events are far more likely than they are in an actual normal distribution. A strategy or process may be far more risky than a normal distribution is capable of describing if the fat tail is on the negative side, or far more profitable if the fat tail is on the positive side. Much of the human social world is said to be fat-tailed rather than normally distributed.	Shane Parrish's Farnam Street Mental Model Guide					1													1							
	Bayesian Updating	The Bayesian method is a method of thought (named for Thomas Bayes) whereby one takes into account all prior relevant probabilities and then incrementally updates them as newer information arrives. This method is especially productive given the fundamentally non-deterministic world we experience: We must use prior odds and new information in combination to arrive at our best decisions. This is not necessarily our intuitive decision-making engine.	Shane Parrish's Farnam Street Mental Model Guide					1													1							
	Regression to the Mean	In a normally distributed system, long deviations from the average will tend to return to that average with an increasing number of observations: the so-called Law of Large Numbers. We are often fooled by regression to the mean, as with a sick patient improving spontaneously around the same time they begin taking an herbal remedy, or a poorly performing sports team going on a winning streak. We must be careful not to confuse statistically likely events with causal ones. - Shane Parrish   “The phenomenon that if a variable is extreme on its first measurement, it will tend to be closer to the average on its second measurement.” (related: Pendulum swing; variance; Gambler’s fallacy) - Gabriel Weinberg	Shane Parrish's Farnam Street Mental Model Guide https://www.farnamstreetblog.com/mental-models/  --- Gabriel Weinberg's Mental Models I Find Repeatedly Useful https://medium.com/@yegg/mental-models-i-find-repeatedly-useful-936f1cc405d					2													1	1						
	Order of Magnitude	In many, perhaps most, systems, quantitative description down to a precise figure is either impossible or useless (or both). For example, estimating the distance between our galaxy and the next one over is a matter of knowing not the precise number of miles, but how many zeroes are after the 1. Is the distance about 1 million miles or about 1 billion? This thought habit can help us escape useless precision. - Shane Parrish  “An order-of-magnitude estimate of a variable whose precise value is unknown is an estimate rounded to the nearest power of ten.” (related: order of approximation, back-of-the-envelope calculation, dimensional analysis, Fermi problem) - Gabriel Weinberg	Shane Parrish's Farnam Street Mental Model Guide https://www.farnamstreetblog.com/mental-models/  --- Gabriel Weinberg's Mental Models I Find Repeatedly Useful https://medium.com/@yegg/mental-models-i-find-repeatedly-useful-936f1cc405d					2													1	1						
Systems	Scale	One of the most important principles of systems is that they are sensitive to scale. Properties (or behaviors) tend to change when you scale them up or down. In studying complex systems, we must always be roughly quantifying – in orders of magnitude, at least – the scale at which we are observing, analyzing, or predicting the system.	Shane Parrish's Farnam Street Mental Model Guide					1													1							
	Diminishing Returns	"Related to scale, most important real-world results are subject to an eventual decrease of incremental value. A good example would be a poor family: Give them enough money to thrive, and they are no longer poor. But after a certain point, additional money will not improve their lot; there is a clear diminishing return of additional dollars at some roughly quantifiable point. Often, the law of diminishing returns veers into negative territory – i.e., receiving too much money could destroy the poor family." —Shane Parrish  ----  "When you focus on improving the same product area, the amount of customer value created over time will diminish for every unit of effort.  How it’s useful  Assuming you are effectively iterating the product based on customer feedback and research, you will eventually hit a point where there’s just not that much you can do to make it better. It’s time for your team to move on and invest in something new."  — Brandon Chu	Shane Parrish's Farnam Street Mental Model Guide - https://www.farnamstreetblog.com/mental-models/  -----  Product Management Mental Models for Everyone - https://blackboxofpm.com/product-management-mental-models-for-everyone-31e7828cb50b 		Product Management Mental Models for Everyone			2													1							1
	Pareto Principle (80/20 Rule)	Named for Italian polymath Vilfredo Pareto, who noticed that 80% of Italy’s land was owned by about 20% of its population, the Pareto Principle states that a small amount of some phenomenon causes a disproportionately large effect. The Pareto Principle is an example of a power-law type of statistical distribution – as distinguished from a traditional bell curve – and is demonstrated in various phenomena ranging from wealth to city populations to important human habits.	Shane Parrish's Farnam Street Mental Model Guide					1													1							
	Feedback Loops (and Homeostasis)	All complex systems are subject to positive and negative feedback loops whereby A causes B, which in turn influences A (and C), and so on – with higher-order effects frequently resulting from continual movement of the loop. In a homeostatic system, a change in A is often brought back into line by an opposite change in B to maintain the balance of the system, as with the temperature of the human body or the behavior of an organizational culture. Automatic feedback loops maintain a “static” environment unless and until an outside force changes the loop. A “runaway feedback loop” describes a situation in which the output of a reaction becomes its own catalyst (auto-catalysis).	Shane Parrish's Farnam Street Mental Model Guide					1													1							
